text,sentiment_compound,sentiment_label,distortion_always_negative,distortion_expecting_worst,distortion_blaming_yourself,distortion_assuming_others,distortion_all_or_nothing,consecutive_negative_days,risk_level
"I feel great today, everything went well.",0.995,Positive,0,0,0,0,0,0,Low
"If it's not perfect, it's a total failure.",-0.603,Negative,0,1,0,0,0,1,Medium
"I feel great today, everything went well.",0.587,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.077,Neutral,0,0,0,0,0,3,Medium
"I feel great today, everything went well.",0.791,Positive,0,0,0,0,0,1,Low
"I will never succeed, this always happens.",-0.684,Negative,1,1,0,0,0,7,High
Things are getting better step by step.,0.218,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.646,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.608,Positive,0,0,0,0,0,0,Low
Things are getting better step by step.,0.681,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.758,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.878,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.238,Positive,0,0,0,0,0,1,Low
"Nothing matters anymore, it's all ruined.",-0.423,Negative,0,0,0,0,0,4,Medium
"If it's not perfect, it's a total failure.",-0.184,Negative,0,0,0,0,0,4,Medium
I had a good time with my friends.,0.298,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.067,Neutral,0,0,0,0,0,6,Medium
"I will never succeed, this always happens.",-0.281,Negative,0,0,0,0,0,5,Medium
I had a good time with my friends.,0.711,Positive,0,0,0,0,0,0,Low
Things are getting better step by step.,0.97,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.092,Neutral,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.987,Negative,1,0,0,0,1,7,High
Things are getting better step by step.,0.597,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.077,Neutral,0,0,0,0,0,2,Medium
They probably think I'm stupid.,-0.623,Negative,1,0,0,1,1,5,High
"I guess today was okay, just normal.",0.07,Neutral,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.494,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.06,Neutral,0,0,0,0,0,6,Medium
Things are getting better step by step.,0.843,Positive,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.561,Negative,1,1,0,0,0,3,High
"I guess today was okay, just normal.",0.096,Neutral,0,0,0,0,0,0,Low
Things are getting better step by step.,0.312,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.03,Neutral,0,0,0,0,0,0,Low
"I will never succeed, this always happens.",-0.353,Negative,0,0,0,0,0,3,Medium
Things are getting better step by step.,0.888,Positive,0,0,0,0,0,1,Low
Things are getting better step by step.,0.297,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.073,Neutral,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.487,Negative,0,0,0,0,0,7,Medium
It's my fault they are mad at me.,-0.992,Negative,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",-0.092,Neutral,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.971,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.028,Neutral,0,0,0,0,0,1,Low
I had a good time with my friends.,0.478,Positive,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.643,Negative,1,0,1,1,0,3,High
"If it's not perfect, it's a total failure.",-0.829,Negative,0,1,1,1,1,3,High
"I guess today was okay, just normal.",0.038,Neutral,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.096,Neutral,0,0,0,0,0,5,Medium
Things are getting better step by step.,0.715,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.094,Neutral,0,0,0,0,0,0,Low
I had a good time with my friends.,0.626,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.536,Positive,0,0,0,0,0,1,Low
"Nothing matters anymore, it's all ruined.",-0.519,Negative,0,1,1,1,0,3,High
I am so stressed and tired of this.,-0.413,Negative,1,1,0,0,0,1,Medium
"I guess today was okay, just normal.",-0.041,Neutral,0,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.644,Negative,1,1,0,1,0,6,High
I had a good time with my friends.,0.234,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.083,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.011,Neutral,0,0,0,0,0,7,Medium
"I guess today was okay, just normal.",-0.067,Neutral,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.854,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.406,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.045,Neutral,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.171,Positive,0,0,0,0,0,0,Low
Things are getting better step by step.,0.985,Positive,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.288,Negative,0,0,0,0,0,7,Medium
"I will never succeed, this always happens.",-0.555,Negative,1,1,0,0,1,2,Medium
"I feel great today, everything went well.",0.761,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.255,Positive,0,0,0,0,0,0,Low
"I will never succeed, this always happens.",-0.724,Negative,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",-0.098,Neutral,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.565,Negative,1,0,1,0,0,3,High
"I will never succeed, this always happens.",-0.698,Negative,1,0,0,1,0,7,High
Things are getting better step by step.,0.839,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.023,Neutral,0,0,0,0,0,4,Medium
"I will never succeed, this always happens.",-0.761,Negative,1,1,1,1,1,6,High
"I feel great today, everything went well.",0.509,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.071,Neutral,0,0,0,0,0,1,Low
I had a good time with my friends.,0.925,Positive,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.575,Negative,1,1,1,0,0,7,High
Things are getting better step by step.,0.635,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.83,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.026,Neutral,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.784,Negative,0,0,1,1,0,7,High
They probably think I'm stupid.,-0.603,Negative,0,1,0,1,0,2,Medium
"I guess today was okay, just normal.",-0.092,Neutral,0,0,0,0,0,5,Medium
I had a good time with my friends.,0.462,Positive,0,0,0,0,0,0,Low
Things are getting better step by step.,0.489,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.898,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.024,Neutral,0,0,0,0,0,5,Medium
Things are getting better step by step.,0.884,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.208,Positive,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.118,Negative,0,0,0,0,0,3,Medium
I am so stressed and tired of this.,-0.323,Negative,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",-0.082,Neutral,0,0,0,0,0,7,Medium
I had a good time with my friends.,0.641,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.082,Neutral,0,0,0,0,0,7,Medium
"Nothing matters anymore, it's all ruined.",-0.629,Negative,0,1,1,0,1,7,High
Things are getting better step by step.,0.559,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.015,Neutral,0,0,0,0,0,1,Low
Things are getting better step by step.,0.539,Positive,0,0,0,0,0,2,Medium
I am so stressed and tired of this.,-0.384,Negative,1,0,1,0,0,2,Medium
"I guess today was okay, just normal.",0.057,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.054,Neutral,0,0,0,0,0,0,Low
They probably think I'm stupid.,-0.992,Negative,0,0,0,1,1,2,Medium
"I will never succeed, this always happens.",-0.746,Negative,1,0,0,1,0,7,High
Things are getting better step by step.,0.348,Positive,0,0,0,0,0,0,Low
"I will never succeed, this always happens.",-0.675,Negative,0,0,0,0,1,2,Medium
It's my fault they are mad at me.,-0.774,Negative,0,0,1,0,0,6,Medium
"I will never succeed, this always happens.",-0.714,Negative,1,1,0,0,0,2,Medium
I am so stressed and tired of this.,-0.902,Negative,0,0,0,0,0,5,Medium
Things are getting better step by step.,0.887,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.419,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.049,Neutral,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.893,Positive,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.951,Negative,1,1,0,1,0,3,High
"I guess today was okay, just normal.",-0.062,Neutral,0,0,0,0,0,7,Medium
Things are getting better step by step.,0.972,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.037,Neutral,0,0,0,0,0,5,Medium
I had a good time with my friends.,0.616,Positive,0,0,0,0,0,1,Low
"I will never succeed, this always happens.",-0.36,Negative,1,0,1,1,0,1,Medium
I am so stressed and tired of this.,-0.53,Negative,1,1,0,0,1,3,High
I had a good time with my friends.,0.992,Positive,0,0,0,0,0,0,Low
"Nothing matters anymore, it's all ruined.",-0.867,Negative,0,0,0,1,0,7,Medium
"I guess today was okay, just normal.",0.026,Neutral,0,0,0,0,0,1,Low
I had a good time with my friends.,0.686,Positive,0,0,0,0,0,0,Low
It's my fault they are mad at me.,-0.159,Negative,0,0,0,0,0,1,Low
"I will never succeed, this always happens.",-0.767,Negative,0,0,1,0,0,5,Medium
I had a good time with my friends.,0.94,Positive,0,0,0,0,0,1,Low
I had a good time with my friends.,0.654,Positive,0,0,0,0,0,0,Low
It's my fault they are mad at me.,-0.741,Negative,1,1,0,1,1,5,High
I had a good time with my friends.,0.887,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.013,Neutral,0,0,0,0,0,0,Low
Things are getting better step by step.,0.156,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.254,Positive,0,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.636,Negative,1,0,0,1,0,5,High
"I guess today was okay, just normal.",-0.03,Neutral,0,0,0,0,0,4,Medium
"I feel great today, everything went well.",0.28,Positive,0,0,0,0,0,1,Low
I had a good time with my friends.,0.171,Positive,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.683,Negative,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",0.046,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.018,Neutral,0,0,0,0,0,3,Medium
"I will never succeed, this always happens.",-0.117,Negative,0,0,0,0,0,3,Medium
"I guess today was okay, just normal.",-0.007,Neutral,0,0,0,0,0,5,Medium
"I guess today was okay, just normal.",-0.044,Neutral,0,0,0,0,0,5,Medium
"I guess today was okay, just normal.",-0.032,Neutral,0,0,0,0,0,4,Medium
"I feel great today, everything went well.",0.102,Positive,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.656,Negative,0,0,1,1,0,4,High
"I guess today was okay, just normal.",0.047,Neutral,0,0,0,0,0,1,Low
It's my fault they are mad at me.,-0.417,Negative,1,0,1,0,0,4,Medium
Things are getting better step by step.,0.939,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.036,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.038,Neutral,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",0.02,Neutral,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.03,Neutral,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.409,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.003,Neutral,0,0,0,0,0,7,Medium
"I guess today was okay, just normal.",-0.018,Neutral,0,0,0,0,0,5,Medium
"I feel great today, everything went well.",0.332,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.053,Neutral,0,0,0,0,0,1,Low
They probably think I'm stupid.,-0.556,Negative,0,0,0,0,0,1,Medium
"I guess today was okay, just normal.",0.024,Neutral,0,0,0,0,0,1,Low
I had a good time with my friends.,0.599,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.076,Neutral,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.558,Negative,0,1,0,0,0,2,Medium
Things are getting better step by step.,0.627,Positive,0,0,0,0,0,0,Low
"If it's not perfect, it's a total failure.",-0.226,Negative,0,0,1,0,0,2,Medium
"I guess today was okay, just normal.",0.034,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.002,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.063,Neutral,0,0,0,0,0,2,Medium
"If it's not perfect, it's a total failure.",-0.303,Negative,1,0,0,1,0,2,Medium
I had a good time with my friends.,0.217,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.014,Neutral,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",0.003,Neutral,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.884,Negative,0,0,0,1,1,7,High
I had a good time with my friends.,0.285,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.219,Positive,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.239,Negative,0,0,0,0,0,1,Medium
"I guess today was okay, just normal.",0.062,Neutral,0,0,0,0,0,1,Low
I had a good time with my friends.,0.678,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.368,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.023,Neutral,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.778,Negative,0,0,0,1,1,6,High
Things are getting better step by step.,0.296,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.005,Neutral,0,0,0,0,0,6,Medium
Things are getting better step by step.,0.356,Positive,0,0,0,0,0,2,Medium
"If it's not perfect, it's a total failure.",-0.482,Negative,1,0,1,0,0,7,Medium
"If it's not perfect, it's a total failure.",-0.331,Negative,1,0,1,0,0,2,Medium
"I guess today was okay, just normal.",0.097,Neutral,0,0,0,0,0,0,Low
I had a good time with my friends.,0.38,Positive,0,0,0,0,0,0,Low
"I will never succeed, this always happens.",-0.882,Negative,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",-0.049,Neutral,0,0,0,0,0,5,Medium
I am so stressed and tired of this.,-0.374,Negative,1,0,0,1,0,5,Medium
"Nothing matters anymore, it's all ruined.",-0.792,Negative,0,1,0,0,0,7,Medium
I am so stressed and tired of this.,-0.622,Negative,1,1,1,0,1,7,High
It's my fault they are mad at me.,-0.517,Negative,1,1,0,0,0,4,High
"I feel great today, everything went well.",0.709,Positive,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.151,Negative,0,0,0,0,0,6,Medium
"I will never succeed, this always happens.",-0.676,Negative,1,0,1,0,1,2,Medium
They probably think I'm stupid.,-0.529,Negative,0,0,1,1,1,7,High
Things are getting better step by step.,0.713,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.927,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.924,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.076,Neutral,0,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.743,Negative,0,0,1,1,1,5,High
"I feel great today, everything went well.",0.125,Positive,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.303,Negative,1,0,0,0,0,3,Medium
"I guess today was okay, just normal.",-0.086,Neutral,0,0,0,0,0,7,Medium
"If it's not perfect, it's a total failure.",-0.108,Negative,0,0,0,0,0,3,Medium
"I will never succeed, this always happens.",-0.615,Negative,1,0,1,0,0,4,High
They probably think I'm stupid.,-0.769,Negative,1,0,1,0,0,5,High
"If it's not perfect, it's a total failure.",-0.666,Negative,1,0,0,0,1,5,High
I am so stressed and tired of this.,-0.262,Negative,0,0,1,0,0,5,Medium
It's my fault they are mad at me.,-0.927,Negative,1,0,1,1,0,1,Medium
I am so stressed and tired of this.,-0.667,Negative,1,0,0,0,1,2,Medium
"If it's not perfect, it's a total failure.",-0.225,Negative,0,0,1,0,0,1,Medium
I am so stressed and tired of this.,-0.156,Negative,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",-0.057,Neutral,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.63,Positive,0,0,0,0,0,1,Low
They probably think I'm stupid.,-0.268,Negative,0,0,1,1,0,5,Medium
"Nothing matters anymore, it's all ruined.",-0.756,Negative,1,0,0,0,1,4,High
"If it's not perfect, it's a total failure.",-0.72,Negative,0,0,1,1,0,1,Medium
Things are getting better step by step.,0.563,Positive,0,0,0,0,0,0,Low
Things are getting better step by step.,0.579,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.083,Neutral,0,0,0,0,0,0,Low
"I will never succeed, this always happens.",-0.519,Negative,1,0,0,0,1,2,Medium
"I guess today was okay, just normal.",0.095,Neutral,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.578,Negative,1,0,1,0,0,7,High
"I guess today was okay, just normal.",-0.072,Neutral,0,0,0,0,0,3,Medium
"I guess today was okay, just normal.",0.087,Neutral,0,0,0,0,0,0,Low
Things are getting better step by step.,0.328,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.781,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.178,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.929,Positive,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.96,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.079,Neutral,0,0,0,0,0,5,Medium
"If it's not perfect, it's a total failure.",-0.646,Negative,1,0,0,1,1,4,High
"I will never succeed, this always happens.",-0.5,Negative,1,0,0,0,0,1,Medium
"If it's not perfect, it's a total failure.",-0.153,Negative,0,0,0,0,0,5,Medium
"I guess today was okay, just normal.",0.043,Neutral,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.657,Negative,0,0,0,0,0,1,Medium
I had a good time with my friends.,0.386,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.907,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.769,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.878,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.618,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.042,Neutral,0,0,0,0,0,0,Low
"If it's not perfect, it's a total failure.",-0.73,Negative,1,0,1,0,1,7,High
"I guess today was okay, just normal.",0.007,Neutral,0,0,0,0,0,0,Low
Things are getting better step by step.,0.799,Positive,0,0,0,0,0,1,Low
It's my fault they are mad at me.,-0.961,Negative,1,1,0,0,1,2,Medium
I had a good time with my friends.,0.84,Positive,0,0,0,0,0,1,Low
"I will never succeed, this always happens.",-0.346,Negative,1,0,0,0,0,5,Medium
"I guess today was okay, just normal.",-0.057,Neutral,0,0,0,0,0,3,Medium
It's my fault they are mad at me.,-0.858,Negative,1,0,0,0,0,4,Medium
I had a good time with my friends.,0.613,Positive,0,0,0,0,0,0,Low
They probably think I'm stupid.,-0.863,Negative,1,0,0,0,1,3,High
"I guess today was okay, just normal.",0.099,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.003,Neutral,0,0,0,0,0,1,Low
Things are getting better step by step.,0.537,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.068,Neutral,0,0,0,0,0,5,Medium
I had a good time with my friends.,0.982,Positive,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.862,Negative,0,0,0,0,0,1,Medium
I am so stressed and tired of this.,-0.765,Negative,1,1,0,0,0,1,Medium
"I guess today was okay, just normal.",-0.001,Neutral,0,0,0,0,0,3,Medium
They probably think I'm stupid.,-0.977,Negative,0,0,0,1,0,1,Medium
"I guess today was okay, just normal.",0.097,Neutral,0,0,0,0,0,1,Low
Things are getting better step by step.,0.141,Positive,0,0,0,0,0,0,Low
It's my fault they are mad at me.,-0.698,Negative,1,1,0,0,0,3,High
"If it's not perfect, it's a total failure.",-0.591,Negative,0,1,0,1,0,5,High
"I feel great today, everything went well.",0.795,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.736,Positive,0,0,0,0,0,1,Low
"I will never succeed, this always happens.",-0.979,Negative,0,0,0,0,1,2,Medium
"I will never succeed, this always happens.",-0.314,Negative,1,0,1,0,0,5,Medium
I had a good time with my friends.,0.789,Positive,0,0,0,0,0,0,Low
"If it's not perfect, it's a total failure.",-0.813,Negative,0,0,1,0,1,7,High
"I feel great today, everything went well.",0.825,Positive,0,0,0,0,0,0,Low
They probably think I'm stupid.,-0.886,Negative,1,0,0,1,0,6,High
"Nothing matters anymore, it's all ruined.",-0.411,Negative,0,0,0,0,0,5,Medium
"I feel great today, everything went well.",0.48,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.532,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.054,Neutral,0,0,0,0,0,4,Medium
I am so stressed and tired of this.,-0.169,Negative,0,0,0,0,0,6,Medium
Things are getting better step by step.,0.273,Positive,0,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.979,Negative,0,0,0,1,1,6,High
They probably think I'm stupid.,-0.466,Negative,0,1,0,0,0,5,Medium
"I guess today was okay, just normal.",-0.032,Neutral,0,0,0,0,0,4,Medium
Things are getting better step by step.,0.621,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.03,Neutral,0,0,0,0,0,7,Medium
They probably think I'm stupid.,-0.473,Negative,1,1,0,0,0,3,Medium
"I guess today was okay, just normal.",-0.086,Neutral,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",0.005,Neutral,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.356,Positive,0,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.52,Negative,0,0,0,0,0,7,Medium
I had a good time with my friends.,0.846,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.106,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.051,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.054,Neutral,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.351,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.066,Neutral,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.597,Positive,0,0,0,0,0,0,Low
"If it's not perfect, it's a total failure.",-0.431,Negative,0,0,1,0,0,7,Medium
"I will never succeed, this always happens.",-0.203,Negative,0,0,0,1,0,1,Medium
"I guess today was okay, just normal.",-0.069,Neutral,0,0,0,0,0,3,Medium
I am so stressed and tired of this.,-0.439,Negative,0,1,0,1,0,5,Medium
"I guess today was okay, just normal.",0.034,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.03,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.058,Neutral,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",-0.026,Neutral,0,0,0,0,0,7,Medium
"I guess today was okay, just normal.",0.035,Neutral,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.639,Negative,0,1,0,0,1,3,High
"I guess today was okay, just normal.",-0.1,Neutral,0,0,0,0,0,5,Medium
"Nothing matters anymore, it's all ruined.",-0.867,Negative,1,1,0,0,0,7,High
It's my fault they are mad at me.,-0.464,Negative,0,0,0,1,0,5,Medium
"Nothing matters anymore, it's all ruined.",-0.618,Negative,1,0,1,1,1,3,High
"I guess today was okay, just normal.",0.031,Neutral,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.349,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.77,Positive,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.657,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.059,Neutral,0,0,0,0,0,4,Medium
It's my fault they are mad at me.,-0.879,Negative,1,0,0,1,1,2,Medium
I had a good time with my friends.,0.269,Positive,0,0,0,0,0,1,Low
It's my fault they are mad at me.,-0.449,Negative,1,1,1,1,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.56,Negative,0,1,0,0,1,4,High
"I guess today was okay, just normal.",-0.055,Neutral,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.283,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.036,Neutral,0,0,0,0,0,4,Medium
I am so stressed and tired of this.,-0.634,Negative,1,0,1,1,1,7,High
"I guess today was okay, just normal.",0.061,Neutral,0,0,0,0,0,0,Low
I had a good time with my friends.,0.606,Positive,0,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.347,Negative,0,0,0,0,0,1,Medium
Things are getting better step by step.,0.29,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.073,Neutral,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.145,Negative,0,0,0,0,0,5,Medium
"I guess today was okay, just normal.",-0.025,Neutral,0,0,0,0,0,7,Medium
"I feel great today, everything went well.",0.694,Positive,0,0,0,0,0,1,Low
Things are getting better step by step.,0.823,Positive,0,0,0,0,0,0,Low
"If it's not perfect, it's a total failure.",-0.467,Negative,1,1,0,0,0,7,Medium
"If it's not perfect, it's a total failure.",-0.728,Negative,0,1,0,0,1,1,Medium
"I feel great today, everything went well.",0.787,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.031,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.083,Neutral,0,0,0,0,0,5,Medium
"I guess today was okay, just normal.",-0.02,Neutral,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.603,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.065,Neutral,0,0,0,0,0,7,Medium
"I guess today was okay, just normal.",0.087,Neutral,0,0,0,0,0,0,Low
They probably think I'm stupid.,-0.739,Negative,0,0,1,0,0,5,Medium
They probably think I'm stupid.,-0.157,Negative,0,0,0,0,0,3,Medium
Things are getting better step by step.,0.83,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.833,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.014,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.034,Neutral,0,0,0,0,0,4,Medium
I had a good time with my friends.,0.572,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.089,Neutral,0,0,0,0,0,7,Medium
"I guess today was okay, just normal.",-0.065,Neutral,0,0,0,0,0,7,Medium
"Nothing matters anymore, it's all ruined.",-0.194,Negative,0,0,0,0,0,6,Medium
"I will never succeed, this always happens.",-0.493,Negative,1,0,0,0,0,5,Medium
I had a good time with my friends.,0.464,Positive,0,0,0,0,0,0,Low
I am so stressed and tired of this.,-0.335,Negative,0,0,0,1,0,1,Medium
"I guess today was okay, just normal.",0.089,Neutral,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.12,Negative,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.058,Neutral,0,0,0,0,0,4,Medium
I had a good time with my friends.,0.973,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.786,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.17,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.033,Neutral,0,0,0,0,0,6,Medium
"I feel great today, everything went well.",0.351,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.094,Neutral,0,0,0,0,0,0,Low
Things are getting better step by step.,0.728,Positive,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.986,Negative,1,1,0,0,0,5,High
